benchmark_id,split,dataset_id,system_id,accuracy,precision,recall,f1,roc_auc,false_positive_rate,false_negative_rate,balanced_accuracy,calibration_error,rows,positives,predicted_positives,true_positive,false_positive,true_negative,false_negative,trace_rows
locked,locked_benchmark,breast_cancer_wisconsin,single_model,0.9649122807017544,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9933862433862434,0.027777777777777776,0.047619047619047616,0.9623015873015872,0.050120323886924584,57,21,21,20,1,35,1,0
locked,locked_benchmark,breast_cancer_wisconsin,mean_ensemble,0.9473684210526315,0.95,0.9047619047619048,0.9268292682926829,0.9947089947089947,0.027777777777777776,0.09523809523809523,0.9384920634920635,0.06463670864914645,57,21,20,19,1,35,2,0
locked,locked_benchmark,breast_cancer_wisconsin,static_weighted_ensemble,0.9649122807017544,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9933862433862434,0.027777777777777776,0.047619047619047616,0.9623015873015872,0.048207856859736296,57,21,21,20,1,35,1,0
locked,locked_benchmark,breast_cancer_wisconsin,veto_mavs,0.9473684210526315,0.95,0.9047619047619048,0.9268292682926829,0.9947089947089947,0.027777777777777776,0.09523809523809523,0.9384920634920635,0.06463670864914645,57,21,20,19,1,35,2,57
locked,locked_benchmark,breast_cancer_wisconsin,pure_mavs_gc,0.9473684210526315,0.95,0.9047619047619048,0.9268292682926829,0.9947089947089947,0.027777777777777776,0.09523809523809523,0.9384920634920635,0.06480107019235014,57,21,20,19,1,35,2,57
locked,locked_benchmark,adult_income,single_model,0.8632268632268633,0.7574511819116135,0.630453378956373,0.6881419234360411,0.9130767114108641,0.06352624495289368,0.369546621043627,0.7834635670017396,0.012380528968550325,4884,1169,973,737,236,3479,432,0
locked,locked_benchmark,adult_income,mean_ensemble,0.8634316134316135,0.7592975206611571,0.6287425149700598,0.6878802058961161,0.913570628402875,0.06271870794078062,0.3712574850299401,0.7830119035146397,0.013903880659475142,4884,1169,968,735,233,3482,434,0
locked,locked_benchmark,adult_income,static_weighted_ensemble,0.8632268632268633,0.7617554858934169,0.6236099230111206,0.6857949200376293,0.9135872074347748,0.06137281292059219,0.3763900769888794,0.7811185550452642,0.012766216739423826,4884,1169,957,729,228,3487,440,0
locked,locked_benchmark,adult_income,veto_mavs,0.8634316134316135,0.7592975206611571,0.6287425149700598,0.6878802058961161,0.913570628402875,0.06271870794078062,0.3712574850299401,0.7830119035146397,0.013903880659475142,4884,1169,968,735,233,3482,434,4884
locked,locked_benchmark,adult_income,pure_mavs_gc,0.8607698607698607,0.7956469165659008,0.562874251497006,0.6593186372745491,0.9135733915748584,0.045491251682368776,0.437125748502994,0.7586914999073187,0.013653652346583106,4884,1169,827,658,169,3546,511,4884
locked,locked_benchmark,credit_card_fraud,single_model,0.999403110845827,0.9444444444444444,0.6938775510204082,0.7999999999999999,0.9657571807563768,7.034327518289252e-05,0.30612244897959184,0.8469036038726127,0.00041773739939323447,28481,49,36,34,2,28430,15,0
locked,locked_benchmark,credit_card_fraud,mean_ensemble,0.9993328885923949,0.9411764705882353,0.6530612244897959,0.7710843373493975,0.9616097986746752,7.034327518289252e-05,0.3469387755102041,0.8264954406073065,0.00023821103554914048,28481,49,34,32,2,28430,17,0
locked,locked_benchmark,credit_card_fraud,static_weighted_ensemble,0.999403110845827,0.9444444444444444,0.6938775510204082,0.7999999999999999,0.9650889196421394,7.034327518289252e-05,0.30612244897959184,0.8469036038726127,0.00036438558755340193,28481,49,36,34,2,28430,15,0
locked,locked_benchmark,credit_card_fraud,veto_mavs,0.9993328885923949,0.9411764705882353,0.6530612244897959,0.7710843373493975,0.9616097986746752,7.034327518289252e-05,0.3469387755102041,0.8264954406073065,0.00023821103554914048,28481,49,34,32,2,28430,17,28481
locked,locked_benchmark,credit_card_fraud,pure_mavs_gc,0.9993679997191109,0.9696969696969697,0.6530612244897959,0.7804878048780488,0.9616112342517198,3.517163759144626e-05,0.3469387755102041,0.8265130264261022,0.00024089796156892505,28481,49,33,32,1,28431,17,28481
locked,locked_benchmark,bank_marketing,single_model,0.9044459190444591,0.6109839816933639,0.504725897920605,0.5527950310559007,0.934241119289619,0.042585170340681364,0.4952741020793951,0.7310703637899618,0.011144106556335224,4521,529,437,267,170,3822,262,0
locked,locked_benchmark,bank_marketing,mean_ensemble,0.9082061490820615,0.6619318181818182,0.44045368620037806,0.5289443813847899,0.933755507233749,0.029809619238476952,0.5595463137996219,0.7053220334809506,0.007820091217138387,4521,529,352,233,119,3873,296,0
locked,locked_benchmark,bank_marketing,static_weighted_ensemble,0.9066578190665782,0.6347607052896725,0.4763705103969754,0.5442764578833694,0.934771717347739,0.036322645290581164,0.5236294896030246,0.7200239325531972,0.006376240236455315,4521,529,397,252,145,3847,277,0
locked,locked_benchmark,bank_marketing,veto_mavs,0.9082061490820615,0.6619318181818182,0.44045368620037806,0.5289443813847899,0.933755507233749,0.029809619238476952,0.5595463137996219,0.7053220334809506,0.007820091217138387,4521,529,352,233,119,3873,296,4521
locked,locked_benchmark,bank_marketing,pure_mavs_gc,0.9059942490599425,0.7131147540983607,0.32892249527410206,0.4501940491591203,0.9337521924756886,0.01753507014028056,0.6710775047258979,0.6556937125669108,0.007614075910744572,4521,529,244,174,70,3922,355,4521
audit,audit_benchmark,breast_cancer_wisconsin,single_model,0.9655172413793104,1.0,0.9090909090909091,0.9523809523809523,0.9595959595959596,0.0,0.09090909090909091,0.9545454545454546,0.036989893004662794,29,11,10,10,0,18,1,0
audit,audit_benchmark,breast_cancer_wisconsin,mean_ensemble,0.9655172413793104,1.0,0.9090909090909091,0.9523809523809523,0.9494949494949495,0.0,0.09090909090909091,0.9545454545454546,0.0593161543461755,29,11,10,10,0,18,1,0
audit,audit_benchmark,breast_cancer_wisconsin,static_weighted_ensemble,0.9655172413793104,1.0,0.9090909090909091,0.9523809523809523,0.9595959595959596,0.0,0.09090909090909091,0.9545454545454546,0.035462614240780975,29,11,10,10,0,18,1,0
audit,audit_benchmark,breast_cancer_wisconsin,veto_mavs,0.9655172413793104,1.0,0.9090909090909091,0.9523809523809523,0.9494949494949495,0.0,0.09090909090909091,0.9545454545454546,0.0593161543461755,29,11,10,10,0,18,1,29
audit,audit_benchmark,breast_cancer_wisconsin,pure_mavs_gc,0.9655172413793104,1.0,0.9090909090909091,0.9523809523809523,0.9494949494949495,0.0,0.09090909090909091,0.9545454545454546,0.059219575626102694,29,11,10,10,0,18,1,29
