schema_version,phase,dataset_id,split_label,split,corruption_family,corruption_id,corruption_level,corruption_seed,seed_role,target_space,corruption_config_hash,random_seed_hash,definition_manifest_hash,manifest_path,manifest_file_sha256
1.0,phase2,breast_cancer_wisconsin,locked,locked_benchmark,feature_noise,breast_cancer_wisconsin__locked_benchmark__feature_noise__level_0p00__primary_1001,0.0,1001,primary,features,865e78edeedf4274d23488d0719344e848026f7bf9e6d0448e60440187111c70,4ab7c1ca1804e64227c4f600c4398023a62528324441aef345f70dd401228343,6ca238f3487a6c518be0e3f8d3a8a9faa32e98bd9e7ddfc1af5c3b462ad8d6de,C:\Users\Saif malik\MAVS-Ch10B\results\corruption_manifests\manifests\feature_noise\breast_cancer_wisconsin__locked_benchmark__feature_noise__level_0p00__primary_1001.json,593b3046fd48be25a5764d6b9d00849b9485e9b9afa111fbd0822108d09d7bb4
1.0,phase2,breast_cancer_wisconsin,locked,locked_benchmark,feature_noise,breast_cancer_wisconsin__locked_benchmark__feature_noise__level_0p00__primary_1002,0.0,1002,primary,features,865e78edeedf4274d23488d0719344e848026f7bf9e6d0448e60440187111c70,c875913f7f9cefc09fa8f0cbd3e5e955253e77fe083baab60f4c9df7489f94fb,96bc58fafa14fa41642c46f54c918c496f3dabcc49d6513c7089834429b2c5b3,C:\Users\Saif malik\MAVS-Ch10B\results\corruption_manifests\manifests\feature_noise\breast_cancer_wisconsin__locked_benchmark__feature_noise__level_0p00__primary_1002.json,b7f97bc94008712a779801945ae0794b05d35f7ce75262329dafaa62efe9f7bb
1.0,phase2,breast_cancer_wisconsin,locked,locked_benchmark,feature_noise,breast_cancer_wisconsin__locked_benchmark__feature_noise__level_0p00__primary_1003,0.0,1003,primary,features,865e78edeedf4274d23488d0719344e848026f7bf9e6d0448e60440187111c70,580656a4b6c1c5b2aa9027439d99c04f6e3f066f8d448f4b043c0cff7c69205c,13d413a47fa33147b96eccc112b3059058f55c203d6b82284804116cb1a00212,C:\Users\Saif malik\MAVS-Ch10B\results\corruption_manifests\manifests\feature_noise\breast_cancer_wisconsin__locked_benchmark__feature_noise__level_0p00__primary_1003.json,ba15be7937143d320827cdca0cdf6d6f384f4fc63ee73d697d188283c601692d
1.0,phase2,breast_cancer_wisconsin,locked,locked_benchmark,feature_noise,breast_cancer_wisconsin__locked_benchmark__feature_noise__level_0p00__shadow_9001,0.0,9001,shadow,features,865e78edeedf4274d23488d0719344e848026f7bf9e6d0448e60440187111c70,11cccea5cc9edd433481d8565286ec89794da50e0592d1fe6ca8bb15642ef65c,54bd767db5449d829722f819cde9230ef71336782d1d4ca64e2db3099991a87a,C:\Users\Saif malik\MAVS-Ch10B\results\corruption_manifests\manifests\feature_noise\breast_cancer_wisconsin__locked_benchmark__feature_noise__level_0p00__shadow_9001.json,5baa7a65c045c38533442beed461aa77633c678d1b4d470b422af54971f57367
1.0,phase2,breast_cancer_wisconsin,locked,locked_benchmark,feature_noise,breast_cancer_wisconsin__locked_benchmark__feature_noise__level_0p00__shadow_9002,0.0,9002,shadow,features,865e78edeedf4274d23488d0719344e848026f7bf9e6d0448e60440187111c70,e1eba6f0c044bdd330794ea6077d4cdba7f52d5bf6d6def520107452ecc002c0,299bbbf763b9fa8b812014d3d614130d59a038ff581df80ff6e8d8658be9c4a7,C:\Users\Saif malik\MAVS-Ch10B\results\corruption_manifests\manifests\feature_noise\breast_cancer_wisconsin__locked_benchmark__feature_noise__level_0p00__shadow_9002.json,94494f6a6fed14637fb1943cb47f68168eaa5c0c1de29469d5b018d032a5edb7
1.0,phase2,breast_cancer_wisconsin,locked,locked_benchmark,feature_noise,breast_cancer_wisconsin__locked_benchmark__feature_noise__level_0p05__primary_1001,0.05,1001,primary,features,865e78edeedf4274d23488d0719344e848026f7bf9e6d0448e60440187111c70,c31650f2b0aa133144f5c067902a9782372bf411c99eae5ea6e48dbc83e33e81,b46cd7655f2611c31c98aafb289a8a28efa66815f06206c3c6d09b8cd95856fc,C:\Users\Saif malik\MAVS-Ch10B\results\corruption_manifests\manifests\feature_noise\breast_cancer_wisconsin__locked_benchmark__feature_noise__level_0p05__primary_1001.json,3197c5832072c9c40a14c32df22f44e57fece2ac8e3967735b5b6d04eb581b0d
1.0,phase2,breast_cancer_wisconsin,locked,locked_benchmark,feature_noise,breast_cancer_wisconsin__locked_benchmark__feature_noise__level_0p05__primary_1002,0.05,1002,primary,features,865e78edeedf4274d23488d0719344e848026f7bf9e6d0448e60440187111c70,7459efea584753b0d8a688b3547125d7daf6ff42dd8b65e0707d0fb312050305,026811af3321fa8f0e00ecc52fd55806e57f5e4ab8adf960ae41d81465cf96c1,C:\Users\Saif malik\MAVS-Ch10B\results\corruption_manifests\manifests\feature_noise\breast_cancer_wisconsin__locked_benchmark__feature_noise__level_0p05__primary_1002.json,a945583128de0493bbbde7b886e0b23d92782defb325143f4c023e746c934bd0
1.0,phase2,breast_cancer_wisconsin,locked,locked_benchmark,feature_noise,breast_cancer_wisconsin__locked_benchmark__feature_noise__level_0p05__primary_1003,0.05,1003,primary,features,865e78edeedf4274d23488d0719344e848026f7bf9e6d0448e60440187111c70,a657aa90d3096dd029d32bc6d351ec9ddbd742ee561e62fc95940c5146317e66,bfcdb99f5b3a9279cfee9dbe1515f10c211ea20ff808874b135e7e44cc05aee3,C:\Users\Saif malik\MAVS-Ch10B\results\corruption_manifests\manifests\feature_noise\breast_cancer_wisconsin__locked_benchmark__feature_noise__level_0p05__primary_1003.json,e4a9680d75a29dac5c54c63089b10bbc76175d359524feaf508a741a9383f553
1.0,phase2,breast_cancer_wisconsin,locked,locked_benchmark,feature_noise,breast_cancer_wisconsin__locked_benchmark__feature_noise__level_0p05__shadow_9001,0.05,9001,shadow,features,865e78edeedf4274d23488d0719344e848026f7bf9e6d0448e60440187111c70,7a84f927a3dfeeab595477f97c704c938b77dcb05e455bbbe1811a40f6e3f197,c28e59f248726808949285ac815eed268aeec88c7d0c39ecb489a62eaa5350d0,C:\Users\Saif malik\MAVS-Ch10B\results\corruption_manifests\manifests\feature_noise\breast_cancer_wisconsin__locked_benchmark__feature_noise__level_0p05__shadow_9001.json,a7e8355a521dafde6359e233d37e70a925e32f7749c49bc4bd6a78756207c7e3
1.0,phase2,breast_cancer_wisconsin,locked,locked_benchmark,feature_noise,breast_cancer_wisconsin__locked_benchmark__feature_noise__level_0p05__shadow_9002,0.05,9002,shadow,features,865e78edeedf4274d23488d0719344e848026f7bf9e6d0448e60440187111c70,2435797ea37b3adc558892a68e3adf45e705f18e2ae2c2a7346795a840b2f1e7,05b4739c84806b8df7b4bddace4284be69911e38d0d2f3e104e9cc37a04760e5,C:\Users\Saif malik\MAVS-Ch10B\results\corruption_manifests\manifests\feature_noise\breast_cancer_wisconsin__locked_benchmark__feature_noise__level_0p05__shadow_9002.json,f257957101508289fc8b27ffad13a245d97cd2f72026dc49714e191a23513dc3
