split_label,dataset_id,system_id,corruption_family,corruption_level,seed_role,seed_count,run_count,accuracy_mean,accuracy_std,error_rate_mean,error_rate_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,observed_label_accuracy_mean,observed_label_accuracy_std,observed_label_f1_mean,observed_label_f1_std,unsafe_acceptance_rate_mean,unsafe_acceptance_rate_std,false_positive_rate_mean,false_positive_rate_std,false_negative_rate_mean,false_negative_rate_std,technical_failure_rate_mean,technical_failure_rate_std,rejection_rate_mean,rejection_rate_std,high_corruption_unsafe_acceptance_rate_mean,high_corruption_unsafe_acceptance_rate_std
audit,bank_marketing,single_model,random_feature_deletion,0.0,audit,3,3,0.9075221238938053,0.0,0.09247787610619473,0.0,0.6244343891402715,0.0,0.5227272727272727,0.0,0.5690721649484536,0.0,0.9075221238938053,0.0,0.5690721649484536,0.0,0.04158316633266533,0.0,0.04158316633266533,0.0,0.4772727272727273,0.0,0.0,0.0,0.9022123893805309,0.0,0.0,0.0
audit,bank_marketing,single_model,random_feature_deletion,0.05,audit,3,3,0.8935103244837758,0.008748190340021781,0.1064896755162242,0.008748190340021781,0.5574686554661537,0.042643613930309965,0.398989898989899,0.0794752776861425,0.4634253284964472,0.06760558629381694,0.8935103244837758,0.008748190340021781,0.4634253284964472,0.06760558629381694,0.041082164328657314,0.0017830792004060324,0.041082164328657314,0.0017830792004060324,0.601010101010101,0.07947527768614249,0.0,0.0,0.9171091445427728,0.010040337713933638,0.0,0.0
audit,bank_marketing,single_model,random_feature_deletion,0.1,audit,3,3,0.8989675516224189,0.008673268689079153,0.10103244837758112,0.008673268689079153,0.5777313530997453,0.0388089166932548,0.47474747474747475,0.0919725952094662,0.5188904689134738,0.0731205329350699,0.8989675516224189,0.008673268689079153,0.5188904689134738,0.0731205329350699,0.04492317969271877,0.0023969105034080357,0.04492317969271877,0.0023969105034080357,0.5252525252525252,0.09197259520946623,0.0,0.0,0.9048672566371682,0.01282931517875083,0.0,0.0
audit,bank_marketing,single_model,random_feature_deletion,0.2,audit,3,3,0.9032448377581122,0.0018184112103153374,0.09675516224188789,0.0018184112103153374,0.6109399315281668,0.012082777912217927,0.476010101010101,0.05028360543368654,0.5333185225340741,0.028754762071736696,0.9032448377581122,0.0018184112103153374,0.5333185225340741,0.028754762071736696,0.040247160988643955,0.005523659121089254,0.040247160988643955,0.005523659121089254,0.523989898989899,0.050283605433686575,0.0,0.0,0.9088495575221239,0.010644022744937273,0.0,0.0
audit,bank_marketing,single_model,random_feature_deletion,0.4,audit,3,3,0.891740412979351,0.00020858607114646928,0.10825958702064897,0.00020858607114646928,0.5905659227592543,0.026507158401016043,0.26515151515151514,0.09111928561953896,0.3547067563300001,0.07464939068104015,0.891740412979351,0.00020858607114646928,0.3547067563300001,0.07464939068104015,0.025384101536406144,0.01181581359472861,0.025384101536406144,0.01181581359472861,0.7348484848484849,0.09111928561953894,0.0,0.0,0.9466076696165192,0.021079580795558474,0.0,0.0
audit,bank_marketing,single_model,random_feature_deletion,0.6,audit,3,3,0.8851032448377582,0.004279828356503517,0.11489675516224189,0.004279828356503517,0.5503952569169961,0.1027129432210469,0.10858585858585859,0.0205928111493688,0.1803378158216868,0.03127646674237048,0.8851032448377582,0.004279828356503517,0.1803378158216868,0.03127646674237048,0.012191048764195057,0.0045244546373226675,0.012191048764195057,0.0045244546373226675,0.8914141414141414,0.020592811149368784,0.0,0.0,0.9765486725663717,0.005019085406245872,0.0,0.0
audit,bank_marketing,single_model,random_feature_deletion,0.8,audit,3,3,0.883480825958702,0.00481106384374636,0.11651917404129793,0.00481106384374636,0.5204968944099378,0.06635236620449328,0.21212121212121213,0.035667795181377616,0.29618680740318065,0.028105999405967995,0.883480825958702,0.00481106384374636,0.29618680740318065,0.028105999405967995,0.027722110888443553,0.010139017526159345,0.027722110888443553,0.010139017526159345,0.7878787878787878,0.03566779518137763,0.0,0.0,0.9507374631268436,0.013112749717340909,0.027722110888443553,0.010139017526159345
audit,bank_marketing,single_model,random_feature_deletion,1.0,audit,3,3,0.8831858407079646,0.0,0.11681415929203542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8831858407079646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
audit,bank_marketing,single_model,random_feature_deletion,0.0,shadow,2,2,0.9075221238938053,0.0,0.09247787610619473,0.0,0.6244343891402715,0.0,0.5227272727272727,0.0,0.5690721649484536,0.0,0.9075221238938053,0.0,0.5690721649484536,0.0,0.04158316633266533,0.0,0.04158316633266533,0.0,0.4772727272727273,0.0,0.0,0.0,0.9022123893805309,0.0,0.0,0.0
audit,bank_marketing,single_model,random_feature_deletion,0.05,shadow,2,2,0.8973451327433628,0.008849557522123908,0.1026548672566372,0.008849557522123908,0.5755904743314464,0.04367558071442512,0.44507575757575757,0.06628787878787878,0.5013219256049646,0.058844049498769896,0.8973451327433628,0.008849557522123908,0.5013219256049646,0.058844049498769896,0.04283567134268537,0.0012525050100200413,0.04283567134268537,0.0012525050100200413,0.5549242424242424,0.06628787878787878,0.0,0.0,0.9101769911504425,0.006637168141592875,0.0,0.0
