split_label,dataset_id,system_id,corruption_family,corruption_level,seed_role,seed_count,run_count,accuracy_mean,accuracy_std,error_rate_mean,error_rate_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,observed_label_accuracy_mean,observed_label_accuracy_std,observed_label_f1_mean,observed_label_f1_std,unsafe_acceptance_rate_mean,unsafe_acceptance_rate_std,false_positive_rate_mean,false_positive_rate_std,false_negative_rate_mean,false_negative_rate_std,technical_failure_rate_mean,technical_failure_rate_std,rejection_rate_mean,rejection_rate_std,high_corruption_unsafe_acceptance_rate_mean,high_corruption_unsafe_acceptance_rate_std
audit,bank_marketing,static_weighted_ensemble,synthetic_sensor_failure,0.0,audit,3,3,0.9092920353982301,0.0,0.09070796460176989,0.0,0.6384976525821596,0.0,0.5151515151515151,0.0,0.5702306079664571,0.0,0.9092920353982301,0.0,0.5702306079664571,0.0,0.03857715430861723,0.0,0.03857715430861723,0.0,0.48484848484848486,0.0,0.0,0.0,0.9057522123893805,0.0,0.0,0.0
audit,bank_marketing,static_weighted_ensemble,synthetic_sensor_failure,0.05,audit,3,3,0.8893805309734514,0.0,0.11061946902654862,0.0,0.5522388059701493,0.0,0.2803030303030303,0.0,0.371859296482412,0.0,0.8893805309734514,0.0,0.371859296482412,0.0,0.03006012024048096,0.0,0.03006012024048096,0.0,0.7196969696969697,0.0,0.0,0.0,0.9407079646017699,0.0,0.0,0.0
audit,bank_marketing,static_weighted_ensemble,synthetic_sensor_failure,0.1,audit,3,3,0.8893805309734514,0.0,0.11061946902654862,0.0,0.5522388059701493,0.0,0.2803030303030303,0.0,0.371859296482412,0.0,0.8893805309734514,0.0,0.371859296482412,0.0,0.03006012024048096,0.0,0.03006012024048096,0.0,0.7196969696969697,0.0,0.0,0.0,0.9407079646017699,0.0,0.0,0.0
audit,bank_marketing,static_weighted_ensemble,synthetic_sensor_failure,0.2,audit,3,3,0.8893805309734514,0.0,0.11061946902654862,0.0,0.5522388059701493,0.0,0.2803030303030303,0.0,0.371859296482412,0.0,0.8893805309734514,0.0,0.371859296482412,0.0,0.03006012024048096,0.0,0.03006012024048096,0.0,0.7196969696969697,0.0,0.0,0.0,0.9407079646017699,0.0,0.0,0.0
audit,bank_marketing,static_weighted_ensemble,synthetic_sensor_failure,0.4,audit,3,3,0.8907079646017699,0.0,0.10929203539823007,0.0,0.5562913907284768,0.0,0.3181818181818182,0.0,0.40481927710843374,0.0,0.8907079646017699,0.0,0.40481927710843374,0.0,0.03356713426853707,0.0,0.03356713426853707,0.0,0.6818181818181818,0.0,0.0,0.0,0.9331858407079646,0.0,0.0,0.0
audit,bank_marketing,static_weighted_ensemble,synthetic_sensor_failure,0.6,audit,3,3,0.8876106194690265,0.0,0.11238938053097347,0.0,0.65625,0.0,0.07954545454545454,0.0,0.14189189189189189,0.0,0.8876106194690265,0.0,0.14189189189189189,0.0,0.005511022044088177,0.0,0.005511022044088177,0.0,0.9204545454545454,0.0,0.0,0.0,0.9858407079646018,0.0,0.0,0.0
audit,bank_marketing,static_weighted_ensemble,synthetic_sensor_failure,0.8,audit,3,3,0.8867256637168142,0.0,0.11327433628318584,0.0,0.8333333333333334,0.0,0.03787878787878788,0.0,0.07246376811594203,0.0,0.8867256637168142,0.0,0.07246376811594203,0.0,0.001002004008016032,0.0,0.001002004008016032,0.0,0.9621212121212122,0.0,0.0,0.0,0.9946902654867257,0.0,0.001002004008016032,0.0
audit,bank_marketing,static_weighted_ensemble,synthetic_sensor_failure,1.0,audit,3,3,0.8831858407079646,0.0,0.11681415929203542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8831858407079646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
audit,bank_marketing,static_weighted_ensemble,synthetic_sensor_failure,0.0,shadow,2,2,0.9092920353982301,0.0,0.09070796460176989,0.0,0.6384976525821596,0.0,0.5151515151515151,0.0,0.5702306079664571,0.0,0.9092920353982301,0.0,0.5702306079664571,0.0,0.03857715430861723,0.0,0.03857715430861723,0.0,0.48484848484848486,0.0,0.0,0.0,0.9057522123893805,0.0,0.0,0.0
audit,bank_marketing,static_weighted_ensemble,synthetic_sensor_failure,0.05,shadow,2,2,0.8893805309734514,0.0,0.11061946902654862,0.0,0.5522388059701493,0.0,0.2803030303030303,0.0,0.371859296482412,0.0,0.8893805309734514,0.0,0.371859296482412,0.0,0.03006012024048096,0.0,0.03006012024048096,0.0,0.7196969696969697,0.0,0.0,0.0,0.9407079646017699,0.0,0.0,0.0
