split_label,dataset_id,system_id,corruption_family,seed_role,metric,directionality,area,levels,area_hash
audit,adult_income,mean_ensemble,adversarial_confidence_inflation,audit,accuracy,higher_is_better,0.8430657930657931,0.0|0.05|0.1|0.2|0.4|0.6|0.8|1.0,6c97acd2ad8deca43f157c7f432870769e708c36571047d4c44c8ec2efc26bee
audit,adult_income,mean_ensemble,adversarial_confidence_inflation,audit,f1,higher_is_better,0.6465147095850206,0.0|0.05|0.1|0.2|0.4|0.6|0.8|1.0,dc10f4b35c6c257fb03b4f1d310bfbdf6ed3ad3d950daaa733c6c375271698d1
audit,adult_income,mean_ensemble,adversarial_confidence_inflation,audit,unsafe_acceptance_rate,lower_is_better,0.08057499102978112,0.0|0.05|0.1|0.2|0.4|0.6|0.8|1.0,7ac357b0e95450a73e6e7e56fd764ead2beffbd986b63d5ee356b6698fc9c105
audit,adult_income,mean_ensemble,adversarial_confidence_inflation,audit,technical_failure_rate,lower_is_better,0.0,0.0|0.05|0.1|0.2|0.4|0.6|0.8|1.0,c6a5bfe76967fd0698b76692e7c24db5d0ffdb468e09c64449e79b25fb8a89f6
audit,adult_income,mean_ensemble,adversarial_confidence_inflation,audit,rejection_rate,context_dependent,0.7951747201747202,0.0|0.05|0.1|0.2|0.4|0.6|0.8|1.0,2a8ccf4bc2f48c0eb34f9aa79bb0899cb768dfccd0b253266852fda51380709e
audit,adult_income,mean_ensemble,adversarial_confidence_inflation,shadow,accuracy,higher_is_better,0.8420352170352171,0.0|0.05|0.1|0.2|0.4|0.6|0.8|1.0,908bab87951c6d1f0a8bded8174d489dfabad4693a0c4cf9a45daad7660bd1c2
audit,adult_income,mean_ensemble,adversarial_confidence_inflation,shadow,f1,higher_is_better,0.6437059949754964,0.0|0.05|0.1|0.2|0.4|0.6|0.8|1.0,bf17e29d8cc45781586f89b0ef234cb84787f2a80cfe62f4256e3b66618e8942
audit,adult_income,mean_ensemble,adversarial_confidence_inflation,shadow,unsafe_acceptance_rate,lower_is_better,0.08086652314316468,0.0|0.05|0.1|0.2|0.4|0.6|0.8|1.0,d9a18162236e6bd9856d31719c70956be41f6ffdf43555733f1c4863315b385b
audit,adult_income,mean_ensemble,adversarial_confidence_inflation,shadow,technical_failure_rate,lower_is_better,0.0,0.0|0.05|0.1|0.2|0.4|0.6|0.8|1.0,034482c0dc7c8ba8c1c3dcf988c0b606aa76f1e788f1ea1cad3aa0862c306024
audit,adult_income,mean_ensemble,adversarial_confidence_inflation,shadow,rejection_rate,context_dependent,0.7957616707616708,0.0|0.05|0.1|0.2|0.4|0.6|0.8|1.0,7cc4e5be4c9d77171656f400a625fe27873e8f5c98f277c4e481929b24a2a98f
locked,adult_income,mean_ensemble,adversarial_confidence_inflation,primary,accuracy,higher_is_better,0.8502985940485941,0.0|0.05|0.1|0.2|0.4|0.6|0.8|1.0,2144f36710dbdb9d9bd13b87bb4943f0ccb5ef190efff6590267ec5bf11c71e5
locked,adult_income,mean_ensemble,adversarial_confidence_inflation,primary,f1,higher_is_better,0.6570037752511799,0.0|0.05|0.1|0.2|0.4|0.6|0.8|1.0,0fee00cc46264cd644f627f38887cb01d6644ed644ba69a19d7059dee2b0e6ed
locked,adult_income,mean_ensemble,adversarial_confidence_inflation,primary,unsafe_acceptance_rate,lower_is_better,0.0706505159264244,0.0|0.05|0.1|0.2|0.4|0.6|0.8|1.0,089d0bc907b9680247cc6c0319f49cbe6899e81c0d8d20db95420c64309c065b
locked,adult_income,mean_ensemble,adversarial_confidence_inflation,primary,technical_failure_rate,lower_is_better,0.0,0.0|0.05|0.1|0.2|0.4|0.6|0.8|1.0,39d02f119d0478427daefbe65158dad9ce4504cf2523fa9a82694199401240cd
locked,adult_income,mean_ensemble,adversarial_confidence_inflation,primary,rejection_rate,context_dependent,0.8028682091182092,0.0|0.05|0.1|0.2|0.4|0.6|0.8|1.0,9557e41a614dde8b28fa51352aded2277173b0c3ef7d06fad2fe3c0b186fa8be
locked,adult_income,mean_ensemble,adversarial_confidence_inflation,shadow,accuracy,higher_is_better,0.8500793407043407,0.0|0.05|0.1|0.2|0.4|0.6|0.8|1.0,afefd446d50a7c821197d5241312df0457a2b2a77efe3cb3e1f2c41ed9715797
locked,adult_income,mean_ensemble,adversarial_confidence_inflation,shadow,f1,higher_is_better,0.6567136234089411,0.0|0.05|0.1|0.2|0.4|0.6|0.8|1.0,e78087d9e1cb431a8d765b836538bbaf8b1828d91433c8f5517efd0c79d1791b
locked,adult_income,mean_ensemble,adversarial_confidence_inflation,shadow,unsafe_acceptance_rate,lower_is_better,0.0709656796769852,0.0|0.05|0.1|0.2|0.4|0.6|0.8|1.0,24f0fc65065fe89192b19c5ed2eeb8ff9c3aab9ce0cdd93dff3e48d473356027
locked,adult_income,mean_ensemble,adversarial_confidence_inflation,shadow,technical_failure_rate,lower_is_better,0.0,0.0|0.05|0.1|0.2|0.4|0.6|0.8|1.0,f7aa456faa4decd5f2cb26851b3c9dd0d7bd1adbbf285fbdfd0cc58f1b90bc1c
locked,adult_income,mean_ensemble,adversarial_confidence_inflation,shadow,rejection_rate,context_dependent,0.8026080057330057,0.0|0.05|0.1|0.2|0.4|0.6|0.8|1.0,971251b286b542499296f9cb292b902812fad37ae4d662750ba84eeaa5886d34
audit,adult_income,mean_ensemble,confidence_distortion,audit,accuracy,higher_is_better,0.8562755937755938,0.0|0.05|0.1|0.2|0.4|0.6|0.8|1.0,d3d9112299118a02c9b21100adc32dc953c5612b7f33bae33d12e83d0b31b837
audit,adult_income,mean_ensemble,confidence_distortion,audit,f1,higher_is_better,0.6771085031368542,0.0|0.05|0.1|0.2|0.4|0.6|0.8|1.0,bc23d05eaccf61e7b0b3440a120b1e1b40e1a59d0747ef37c9715763fb6e6b44
audit,adult_income,mean_ensemble,confidence_distortion,audit,unsafe_acceptance_rate,lower_is_better,0.07264531754574813,0.0|0.05|0.1|0.2|0.4|0.6|0.8|1.0,257aa4200e13f7e04f0a4168f1f7f8aed05ebf108e49acf38c6271aa9105b885
audit,adult_income,mean_ensemble,confidence_distortion,audit,technical_failure_rate,lower_is_better,0.0,0.0|0.05|0.1|0.2|0.4|0.6|0.8|1.0,0a9b4e798482b6a78245b72a839d11c4500af540ec10da32cdd1c617adbd3fc7
audit,adult_income,mean_ensemble,confidence_distortion,audit,rejection_rate,context_dependent,0.7940315315315315,0.0|0.05|0.1|0.2|0.4|0.6|0.8|1.0,bbbffe0e269f64eedba06af55c232fd9b5063a813d131ae20f13771c798d5120
audit,adult_income,mean_ensemble,confidence_distortion,shadow,accuracy,higher_is_better,0.8562755937755938,0.0|0.05|0.1|0.2|0.4|0.6|0.8|1.0,8983c8eadbe11beca49237e8fa6b15f667ad4a63d745e2725d801f2de3857d7c
audit,adult_income,mean_ensemble,confidence_distortion,shadow,f1,higher_is_better,0.6771085031368542,0.0|0.05|0.1|0.2|0.4|0.6|0.8|1.0,b6e61cb598f775fbee498e32c309cee8a71b689a8c52b30c34fcdaa8534ca422
audit,adult_income,mean_ensemble,confidence_distortion,shadow,unsafe_acceptance_rate,lower_is_better,0.07264531754574813,0.0|0.05|0.1|0.2|0.4|0.6|0.8|1.0,eb80f8812043998cd044d6a0576cd3bab8cf14c6d974ff6a39b04c28f7ff20af
audit,adult_income,mean_ensemble,confidence_distortion,shadow,technical_failure_rate,lower_is_better,0.0,0.0|0.05|0.1|0.2|0.4|0.6|0.8|1.0,78040976baff7523b23dd6346798891d702b8cfb796ab16428bc90172069247a
audit,adult_income,mean_ensemble,confidence_distortion,shadow,rejection_rate,context_dependent,0.7940315315315315,0.0|0.05|0.1|0.2|0.4|0.6|0.8|1.0,ca149bb8dec00a52fb07b118ca01cec921b53c1f5fd3ebedc7007129248d311e
locked,adult_income,mean_ensemble,confidence_distortion,primary,accuracy,higher_is_better,0.8634316134316135,0.0|0.05|0.1|0.2|0.4|0.6|0.8|1.0,bd724aa07268e7f735a7354dc3b9b3aaab07e25e6ce6b5eb322f10468125b44c
locked,adult_income,mean_ensemble,confidence_distortion,primary,f1,higher_is_better,0.6878802058961161,0.0|0.05|0.1|0.2|0.4|0.6|0.8|1.0,32973c32a74be35ff1610295a40ef44f9212c48607e95c37cebca1e8799b23e4
locked,adult_income,mean_ensemble,confidence_distortion,primary,unsafe_acceptance_rate,lower_is_better,0.06271870794078062,0.0|0.05|0.1|0.2|0.4|0.6|0.8|1.0,ebc93ef7a425c747fd858dbb314c1ba4b7af2b8139edfa27ec03e31723b5774d
