run_id,run_mode,split_label,split,dataset_id,system_id,corruption_family,corruption_level,seed_role,seed_count,system_run_count,prediction_rows,trace_rows,prediction_artifact_count,aggregate_hash
phase3_audit_full_v1,exploratory,audit,audit_benchmark,breast_cancer_wisconsin,single_model,feature_noise,0.0,audit,3,3,87,0,3,62408d5066939e9f90f21d16bfaf60284f9228eba758a45eec9bc9cff02e262e
phase3_audit_full_v1,exploratory,audit,audit_benchmark,breast_cancer_wisconsin,mean_ensemble,feature_noise,0.0,audit,3,3,87,0,3,ca304a01658b8146b3885a5a5388f5954e673dd5a451e35173b6d10a36ede1a4
phase3_audit_full_v1,exploratory,audit,audit_benchmark,breast_cancer_wisconsin,static_weighted_ensemble,feature_noise,0.0,audit,3,3,87,0,3,9422d25c4305a4e58d7ca2fe9f2f300f03cba18eaf100ba08c21df995fffd35e
phase3_audit_full_v1,exploratory,audit,audit_benchmark,breast_cancer_wisconsin,veto_mavs,feature_noise,0.0,audit,3,3,87,87,3,586fef66ef545762cdf84266f31bf1a132c5e506e4e84d036a32166c702d833a
phase3_audit_full_v1,exploratory,audit,audit_benchmark,breast_cancer_wisconsin,pure_mavs_gc,feature_noise,0.0,audit,3,3,87,87,3,77f62846de4ae24751cb5004aaa9b4a0668596c1fbd57efc7caf5f6798f3011e
phase3_audit_full_v1,exploratory,audit,audit_benchmark,breast_cancer_wisconsin,single_model,feature_noise,0.0,shadow,2,2,58,0,2,5ccd7f67a80dfa1d53080889a29f1b4f42e6e2d6a88474d6b9b8f25b97d6c90e
phase3_audit_full_v1,exploratory,audit,audit_benchmark,breast_cancer_wisconsin,mean_ensemble,feature_noise,0.0,shadow,2,2,58,0,2,647f6436cdb7d473214cec0c7901fa1c87f50dcf6a1d4247246b47263f2d02d1
phase3_audit_full_v1,exploratory,audit,audit_benchmark,breast_cancer_wisconsin,static_weighted_ensemble,feature_noise,0.0,shadow,2,2,58,0,2,e08169ab598bd7b72071b5733b9250954d1c44d7d75d89e349c124e49cc44621
phase3_audit_full_v1,exploratory,audit,audit_benchmark,breast_cancer_wisconsin,veto_mavs,feature_noise,0.0,shadow,2,2,58,58,2,bd541573062bf33a5ca115c2454683f81d1206256b6b904d79ca987e80518ca9
phase3_audit_full_v1,exploratory,audit,audit_benchmark,breast_cancer_wisconsin,pure_mavs_gc,feature_noise,0.0,shadow,2,2,58,58,2,ee6ff47c964835ca8d8a35e440431b4ec78bd01caa7d34a5e357ae8833cf987b
phase3_audit_full_v1,exploratory,audit,audit_benchmark,breast_cancer_wisconsin,single_model,feature_noise,0.05,audit,3,3,87,0,3,faf8eca171e11fb0073d931af3a7d3a999d0a770bc0cca8c4c52d244d3e23e40
phase3_audit_full_v1,exploratory,audit,audit_benchmark,breast_cancer_wisconsin,mean_ensemble,feature_noise,0.05,audit,3,3,87,0,3,5db3b79499bb37375697e9b18740fd706cf01645aa9653bc58ed18dd9aea1315
phase3_audit_full_v1,exploratory,audit,audit_benchmark,breast_cancer_wisconsin,static_weighted_ensemble,feature_noise,0.05,audit,3,3,87,0,3,f6c11458995574784c34b24d511379ade73efad8facf1f0537249fb298e149ce
phase3_audit_full_v1,exploratory,audit,audit_benchmark,breast_cancer_wisconsin,veto_mavs,feature_noise,0.05,audit,3,3,87,87,3,ccd42e0f33779aa283307f6565e26ea8e8b64c76f9c90827dc3a5f9af53b6de7
phase3_audit_full_v1,exploratory,audit,audit_benchmark,breast_cancer_wisconsin,pure_mavs_gc,feature_noise,0.05,audit,3,3,87,87,3,83a0a1763fc9a97eeddab99e234bd3f7ae9c2fe308433d01645c9b364fc7da8e
phase3_audit_full_v1,exploratory,audit,audit_benchmark,breast_cancer_wisconsin,single_model,feature_noise,0.05,shadow,2,2,58,0,2,dd3cebaed9444da32b7791c8f2c3f947af7fa3e343973f17ed688377f041646c
phase3_audit_full_v1,exploratory,audit,audit_benchmark,breast_cancer_wisconsin,mean_ensemble,feature_noise,0.05,shadow,2,2,58,0,2,d95d1d9183e0b01d7fb467e067e7bc9e2e6f77ad79522a5f73d611b3442d8fcd
phase3_audit_full_v1,exploratory,audit,audit_benchmark,breast_cancer_wisconsin,static_weighted_ensemble,feature_noise,0.05,shadow,2,2,58,0,2,e3770e7ec1355810530ac536f71ea73d760d9d8b03a14a6acd48025205da97a5
phase3_audit_full_v1,exploratory,audit,audit_benchmark,breast_cancer_wisconsin,veto_mavs,feature_noise,0.05,shadow,2,2,58,58,2,7bf7113340823735554ad8ba8e2a5d805cf60adcb1bf7037d772a3d418e1a03f
phase3_audit_full_v1,exploratory,audit,audit_benchmark,breast_cancer_wisconsin,pure_mavs_gc,feature_noise,0.05,shadow,2,2,58,58,2,2aa4451b97294bd051673be76160ce4fe36c68150a69f0e72c58cb51cf894e96
phase3_audit_full_v1,exploratory,audit,audit_benchmark,breast_cancer_wisconsin,single_model,feature_noise,0.1,audit,3,3,87,0,3,ebe36ca61be427bda2e744c0c74d6b33ca378202d6a9c66cc3acd94f4e99e878
phase3_audit_full_v1,exploratory,audit,audit_benchmark,breast_cancer_wisconsin,mean_ensemble,feature_noise,0.1,audit,3,3,87,0,3,c78ba6560f0291eb8ef58e9c888dad255b43981ca8c79fe2accf8a284f0374f0
