run_id,run_mode,split_label,split,dataset_id,system_id,corruption_family,corruption_level,seed_role,seed_count,system_run_count,prediction_rows,trace_rows,prediction_artifact_count,aggregate_hash
phase3_locked_full_v1,exploratory,locked,locked_benchmark,breast_cancer_wisconsin,single_model,feature_noise,0.0,primary,3,3,171,0,3,e99f169c862e15443f238b31b1ced4b34be5dc56d8c921e202276bfa7b92c777
phase3_locked_full_v1,exploratory,locked,locked_benchmark,breast_cancer_wisconsin,mean_ensemble,feature_noise,0.0,primary,3,3,171,0,3,4008f77067da791d511a710b15850874ef117aa69feb42697bfd68773d195f3e
phase3_locked_full_v1,exploratory,locked,locked_benchmark,breast_cancer_wisconsin,static_weighted_ensemble,feature_noise,0.0,primary,3,3,171,0,3,0ed26d40311adf025e06af5c26d904b7c3caf33a1870f84860e4e936c891911c
phase3_locked_full_v1,exploratory,locked,locked_benchmark,breast_cancer_wisconsin,veto_mavs,feature_noise,0.0,primary,3,3,171,171,3,0e5c5e287b2ca66921cadfcc01d5092c52af7bbe4ac2770cd7b116a72efe6e05
phase3_locked_full_v1,exploratory,locked,locked_benchmark,breast_cancer_wisconsin,pure_mavs_gc,feature_noise,0.0,primary,3,3,171,171,3,056d529a1399a915bccfeec15038ec2e7742f3350f3e52a95afd37c6bdd5827a
phase3_locked_full_v1,exploratory,locked,locked_benchmark,breast_cancer_wisconsin,single_model,feature_noise,0.0,shadow,2,2,114,0,2,47e01d2b7fe93824952dbf60bd8a6311fd0c0f2a0b4a5b7a4d29dc7619aa09b0
phase3_locked_full_v1,exploratory,locked,locked_benchmark,breast_cancer_wisconsin,mean_ensemble,feature_noise,0.0,shadow,2,2,114,0,2,886b8a4cd2b3d02475cec92d68248b24e9e2da8c6737828d257df0ab06f1b7a7
phase3_locked_full_v1,exploratory,locked,locked_benchmark,breast_cancer_wisconsin,static_weighted_ensemble,feature_noise,0.0,shadow,2,2,114,0,2,98408d219ceeb7d8fbf6e70a264a14a4114d5289c093b7f745923900cf7d31f3
phase3_locked_full_v1,exploratory,locked,locked_benchmark,breast_cancer_wisconsin,veto_mavs,feature_noise,0.0,shadow,2,2,114,114,2,91f23bb75434b7060b745a931b601e0637bf6ddd58cfb3a022368ae9a0c58982
phase3_locked_full_v1,exploratory,locked,locked_benchmark,breast_cancer_wisconsin,pure_mavs_gc,feature_noise,0.0,shadow,2,2,114,114,2,47906aa76303d3ca40e2943cd7dec857f10640d79a559f0e02cea69b793e57c3
phase3_locked_full_v1,exploratory,locked,locked_benchmark,breast_cancer_wisconsin,single_model,feature_noise,0.05,primary,3,3,171,0,3,e8eccea99f7309bea02903ab682b35166ceb5f0d537a3670c9fe28d58cc1266d
phase3_locked_full_v1,exploratory,locked,locked_benchmark,breast_cancer_wisconsin,mean_ensemble,feature_noise,0.05,primary,3,3,171,0,3,98b4d813218e4bcce195694b181a4bf6fa9ab7b4675495210b061d60f4fd6291
phase3_locked_full_v1,exploratory,locked,locked_benchmark,breast_cancer_wisconsin,static_weighted_ensemble,feature_noise,0.05,primary,3,3,171,0,3,4b7c1406b78831e3410ca975c4a0d93d38859ed21e93bd8b031e9bd79979e42c
phase3_locked_full_v1,exploratory,locked,locked_benchmark,breast_cancer_wisconsin,veto_mavs,feature_noise,0.05,primary,3,3,171,171,3,28b1a9981d9aa80adf3b44d61f35ad26f2c9d4c75e3a4045fa10ccfcaffed200
phase3_locked_full_v1,exploratory,locked,locked_benchmark,breast_cancer_wisconsin,pure_mavs_gc,feature_noise,0.05,primary,3,3,171,171,3,0fe205188b27e981e4da61cf75df0fc5efdf8be604923e4b8df4b387ebded7e1
phase3_locked_full_v1,exploratory,locked,locked_benchmark,breast_cancer_wisconsin,single_model,feature_noise,0.05,shadow,2,2,114,0,2,5a209c860aab1127325ce3d1bdec376459f8f7086f38c12bbe9c5ab9ec008a76
phase3_locked_full_v1,exploratory,locked,locked_benchmark,breast_cancer_wisconsin,mean_ensemble,feature_noise,0.05,shadow,2,2,114,0,2,ebc2a649e12b2902db40234799cde324d3d038191f087ab5a3f4a4f0fc18a855
phase3_locked_full_v1,exploratory,locked,locked_benchmark,breast_cancer_wisconsin,static_weighted_ensemble,feature_noise,0.05,shadow,2,2,114,0,2,3f6431b46a79fad17aad114c15bccd4482b3b45ec4b4a8a2f576249e3acccfe7
phase3_locked_full_v1,exploratory,locked,locked_benchmark,breast_cancer_wisconsin,veto_mavs,feature_noise,0.05,shadow,2,2,114,114,2,665c29feccb2d11df1d8f4224074d73c96b22031d3a54c1de0630148175d85d4
phase3_locked_full_v1,exploratory,locked,locked_benchmark,breast_cancer_wisconsin,pure_mavs_gc,feature_noise,0.05,shadow,2,2,114,114,2,f4a48cdd559c45a58b87a26b10a7d96f2ed58b5f587d1b2b2facc973694ecbe2
phase3_locked_full_v1,exploratory,locked,locked_benchmark,breast_cancer_wisconsin,single_model,feature_noise,0.1,primary,3,3,171,0,3,c0867d7c416ef2c5defd64ff05b8e738f445b71f2f471b33ef689042bbbb1958
phase3_locked_full_v1,exploratory,locked,locked_benchmark,breast_cancer_wisconsin,mean_ensemble,feature_noise,0.1,primary,3,3,171,0,3,e240e6a9ea327938a2f5351496b9c7e85488688ee8def8d2aa886ffdca1ff821
phase3_locked_full_v1,exploratory,locked,locked_benchmark,breast_cancer_wisconsin,static_weighted_ensemble,feature_noise,0.1,primary,3,3,171,0,3,1527630e9fbfa713a01e2b21e3cae1cb5dae2dbd6f4936a94e186a344763cf0f
phase3_locked_full_v1,exploratory,locked,locked_benchmark,breast_cancer_wisconsin,veto_mavs,feature_noise,0.1,primary,3,3,171,171,3,cac669de75437a4ca8754941a54831958d6fc6168e31e33b32e8529f99cebb5d
phase3_locked_full_v1,exploratory,locked,locked_benchmark,breast_cancer_wisconsin,pure_mavs_gc,feature_noise,0.1,primary,3,3,171,171,3,b3c91d59393f0cff5f4d741333fecaa30aabfd10c9d9814ca840fc0f296e972a
phase3_locked_full_v1,exploratory,locked,locked_benchmark,breast_cancer_wisconsin,single_model,feature_noise,0.1,shadow,2,2,114,0,2,fe326a2bdf8ca9d4ea59bbdf8268ce95797c56130e157afcf00df1fdba9933cd
phase3_locked_full_v1,exploratory,locked,locked_benchmark,breast_cancer_wisconsin,mean_ensemble,feature_noise,0.1,shadow,2,2,114,0,2,d1b70fe9141fb2ff0eb741354e42dedc7857b5264297c234286954b2330cc959
phase3_locked_full_v1,exploratory,locked,locked_benchmark,breast_cancer_wisconsin,static_weighted_ensemble,feature_noise,0.1,shadow,2,2,114,0,2,cc7c6fbdb8d88380ebf842b8fbc1135aab7b2b46f22849934efdf6e96c968759
phase3_locked_full_v1,exploratory,locked,locked_benchmark,breast_cancer_wisconsin,veto_mavs,feature_noise,0.1,shadow,2,2,114,114,2,dae09d7c2d06ae29b1e5442924ea29b815bb32b7533e8710217bf66572295fe4
